	Taxon	Confidence
0254fc00f29141e29c6b5809f7ea3ebe	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Mycosphaerellaceae;g__Chuppomyces;s__Chuppomyces_handelii	0.984968247472539
02597046738457892fba2bec2e5101c4	k__Fungi;p__Ascomycota;c__Arthoniomycetes;o__Lichenostigmatales;f__Phaeococcomycetaceae;g__Phaeococcomyces;s__unidentified	0.999999984362759
02610841a765180e4aea1f8ac9c7f64b	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.999968583026978
0264faf0697df434d1a52546d32ad246	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Microthyriales;f__unidentified;g__unidentified;s__unidentified	0.76458112651929
026dbc89cacf2c59da3b1bc37d0d9e99	k__Fungi;p__Ascomycota	0.99135331090377
026fa908d4413ac6715c2301bb2130d2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales	0.961455641367976
0278d75f26a0622a4b85c738586b2127	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae	0.950424761435778
027c23ca50db1d57f9d06a2b912a4fc3	k__Fungi;p__Ascomycota;c__Eurotiomycetes;o__Eurotiales;f__Aspergillaceae;g__Penicillium	0.802693859514391
0281918b6bb1b6235cb03710ae0db638	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Parasola	0.999929346255078
02825e4c31fab7ee3ca3232e67fd61a2	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__Pyronemataceae;g__Pyronema;s__Pyronema_domesticum	0.999999999906152
028b1f052fddbef3d58033feead244c1	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Microascales;f__Microascaceae;g__Kernia;s__Kernia_columnaris	0.861691242128115
028b51a238724ea240d8bafd2c637b66	k__Fungi;p__Ascomycota;c__Pezizomycetes;o__Pezizales;f__unidentified;g__unidentified;s__unidentified	0.776219374983423
029568a2bca6ce72a0bf240418ae6331	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Coniochaetales;f__Coniochaetaceae;g__Coniochaeta;s__unidentified	0.975203910694491
0297f7aca128320c6d7f2bd0f9aac620	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Venturiales;f__Venturiaceae;g__Venturia	0.886934294742109
02992f47e269aed79cca2d2b33ce8950	k__Fungi;p__Ascomycota	0.818032792421677
029ae17db51f3f91dd6481440761df70	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Auriculariales;f__unidentified;g__unidentified;s__unidentified	0.998596171074217
02a7981ee8e2f5885d1a4834c2772a0f	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Crepidotaceae;g__Crepidotus;s__Crepidotus_albolanatus	0.82959793172027
02a7f2c7033093d528df0bbe201c0a44	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Apiosporaceae;g__Arthrinium;s__Arthrinium_kogelbergense	0.993239096314166
02ab3b99f5cda5dd99461380c05564e3	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Alternaria;s__Alternaria_oregonensis	0.970957554963851
02b28f64439d0ed2f58ef330c94f29ac	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Xylariales_fam_Incertae_sedis;g__Hansfordia;s__Hansfordia_pulvinata	0.847646812032142
02b543e09a22ce761daff8e8753dc548	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Trechisporales;f__Hydnodontaceae;g__Trechispora	0.996929271919995
02c1b6d3bb440f8c0750aff301d06110	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Xylariales;f__Apiosporaceae;g__Arthrinium	0.953430278588766
02c2d2b15e5bc15fc100f7e7e609e6e2	k__Fungi;p__Ascomycota;c__Leotiomycetes;o__Erysiphales;f__Erysiphaceae;g__Podosphaera;s__Podosphaera_aphanis	0.860763698761888
02c50c7258fed641c3f356b6d112226d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_lagopus	0.984957089123736
02c76212d90f45c2d96e123ef15e3682	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.992147269517802
02d41672abdab63267c41eba824078bb	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__unidentified	0.996084171841947
02d773dcc8f11e73fbaf91584d8ecdee	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales	0.94960738920012
02dd7949659f2a6d7d9f7d8c8a807b3d	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.983710962315062
02df8eba33ee8c80efe157cb07c6d5be	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.984345421779803
02eb6997633d00f3631be460e8191a1d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Phanerochaetaceae;g__Bjerkandera;s__Bjerkandera_adusta	0.95735724980952
02ec58d1859445e733ec91e47ff541f2	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Psathyrellaceae;g__Coprinopsis;s__Coprinopsis_patouillardii	0.715923265630704
02ed84971fb48b4c7afae17587552443	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Glomerellales;f__Plectosphaerellaceae;g__Verticillium	0.999998843331628
02f85c60e2675881327af1f0237f7b9e	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Phaeosphaeriaceae;g__Sclerostagonospora;s__unidentified	0.902585855759541
02f894ba4ddaff8d8bec72a1fe0c475e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Hypocreales;f__Hypocreales_fam_Incertae_sedis;g__Acremonium;s__Acremonium_rutilum	0.999970857183069
02fde133861f05d89a9ef5fd4961fc0d	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Polyporales;f__Meruliaceae;g__Ceraceomyces;s__Ceraceomyces_serpens	0.999999989635228
03072d56390a5b7b4b838cc81245c645	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Capnodiales;f__Cladosporiaceae;g__Cladosporium;s__Cladosporium_cladosporioides	0.913216688878823
0316a83a2ff71c56f68a7f0f1171279b	k__Fungi;p__Ascomycota	0.972527533123976
031b923092247070c6d86b454e1a9021	k__Fungi;p__Basidiomycota;c__Agaricomycetes;o__Agaricales;f__Tricholomataceae;g__Xeromphalina;s__Xeromphalina_campanella	0.999994806245881
0320f8052019475b4350f1e8936cd105	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales;f__Pleosporaceae;g__Stemphylium;s__unidentified	0.983397954668316
0324710e1a5ae77ba9149cd807cc0d92	k__Fungi;p__Ascomycota;c__Lecanoromycetes;o__Lecanorales	0.97008295358527
0325d9409ab1a5b8f2ddd3f4bb6bbfb8	k__Fungi;p__Ascomycota;c__Orbiliomycetes;o__Orbiliales;f__Orbiliaceae;g__Retiarius;s__unidentified	0.999999982237313
032c7dd6722e8b53a0ddc8d44a8abc60	k__Fungi;p__Basidiomycota;c__Tremellomycetes;o__Tremellales;f__Bulleribasidiaceae;g__Vishniacozyma;s__Vishniacozyma_victoriae	0.998486386940435
032fd5f965a1cab559e726768a865eac	k__Fungi;p__Ascomycota;c__Dothideomycetes;o__Pleosporales	0.973049303531264
0335431c9b09e3d5c688623e725b680e	k__Fungi;p__Ascomycota;c__Sordariomycetes;o__Diaporthales;f__Diaporthaceae;g__Diaporthe	0.936723855163614
